name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
seattle,2020-10-12,61.8,52.6,56.8,61.8,52.6,56.8,45.3,66.4,0.002,100,4.17,rain,0,0,33.3,20,185.7,1018.5,68,9.6,84.3,7.3,4,,2020-10-12T07:24:42,2020-10-12T18:25:45,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2020-10-13,63.7,49.6,56.8,63.7,45.9,56.4,46.9,71.2,0.424,100,33.33,rain,0,0,34.8,19,203.3,1012.9,78.3,8.7,115.7,10,5,,2020-10-13T07:26:08,2020-10-13T18:23:50,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2020-10-14,61.9,52.6,56,61.9,52.6,56,45.9,69.1,0,0,0,,0,0,,8,183.5,1028.3,75,9.9,122.9,10.7,5,,2020-10-14T07:27:34,2020-10-14T18:21:56,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,E8046,72793524234,72793494248,F0821,KRNT"
seattle,2020-10-15,61.6,45.7,53.4,61.6,45.7,53.4,43.9,71.2,0,0,0,,0,0,,6.2,333.4,1034.4,60.6,9.9,107.6,9.3,4,,2020-10-15T07:29:01,2020-10-15T18:20:03,0.99,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2020-10-16,63.6,51.3,58.3,63.6,51.3,58.3,51.2,77.4,0.003,100,4.17,rain,0,0,29.2,17.5,177.9,1022.3,96.1,9.7,27.7,2.3,2,,2020-10-16T07:30:28,2020-10-16T18:18:11,1,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2020-10-17,58.8,52.8,55.3,58.8,52.8,55.3,49.7,82.2,0.041,100,16.67,rain,0,0,17.2,9.2,158.4,1021.4,98.6,7.3,40.2,3.6,2,,2020-10-17T07:31:56,2020-10-17T18:16:20,0,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2020-10-18,62.8,52.9,57.8,62.8,52.9,57.8,51.3,79.2,0.005,100,8.33,rain,0,0,26.9,16.6,185.8,1017.1,99.1,9.1,24.4,2.1,1,,2020-10-18T07:33:24,2020-10-18T18:14:29,0.02,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"72793024233,KSEA,F7103,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2020-10-19,59,51,55.2,59,51,55.2,49.6,81.7,0.027,100,25,rain,0,0,16.1,10.1,155.9,1021,99.7,9.4,30.8,2.7,2,,2020-10-19T07:34:52,2020-10-19T18:12:40,0.05,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2020-10-20,58.8,48.4,53.5,58.8,48.4,53.5,45.9,76.7,0,0,0,,0,0,,5.4,125.8,1022.2,77,9.8,86,7.4,4,,2020-10-20T07:36:20,2020-10-20T18:10:51,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,F7103,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2020-10-21,53.1,42.6,48.3,53.1,40.5,47.1,42.5,80.8,0.203,100,20.83,rain,0,0,,9.4,134.6,1021.3,75,9.4,72,6.3,4,,2020-10-21T07:37:49,2020-10-21T18:09:04,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2020-10-22,53.1,39.6,45.4,53.1,37,44.7,38.9,78.7,0,0,0,,0,0,,6.6,57.6,1028.5,55.2,9.9,76.9,6.5,4,,2020-10-22T07:39:18,2020-10-22T18:07:18,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2020-10-23,50.7,38.5,44.7,50.7,34.9,41.3,39.4,81.8,0.047,100,16.67,rain,0,0,25.3,11.4,152.3,1016.6,87.8,8.5,19.6,1.6,1,,2020-10-23T07:40:47,2020-10-23T18:05:33,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72793024233,KSEA,F7103,KBFI,E8046,72793524234,72793494248,F0821,KRNT"
