name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
seattle,2020-10-12,16.5,11.5,13.8,16.5,11.5,13.8,7.4,66.4,0.045,100,4.17,rain,0,0,53.5,32.1,185.8,1018.5,68,15.4,84.3,7.3,4,,2020-10-12T07:24:42,2020-10-12T18:25:45,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2020-10-13,17.6,9.8,13.8,17.6,7.7,13.6,8.3,71.2,10.792,100,33.33,rain,0,0,56,30.7,203.3,1012.9,78.3,14,115.7,10,5,,2020-10-13T07:26:08,2020-10-13T18:23:50,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2020-10-14,16.6,11.5,13.3,16.6,11.5,13.3,7.7,69.1,0,0,0,,0,0,,12.8,183.4,1028.3,75,16,122.9,10.7,5,,2020-10-14T07:27:34,2020-10-14T18:21:56,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,E8046,72793524234,72793494248,F0821,KRNT"
seattle,2020-10-15,16.4,7.6,11.9,16.4,7.6,11.9,6.6,71.2,0,0,0,,0,0,,10,333.3,1034.4,60.6,16,107.6,9.3,4,,2020-10-15T07:29:01,2020-10-15T18:20:03,0.99,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2020-10-16,17.5,10.7,14.6,17.5,10.7,14.6,10.6,77.4,0.064,100,4.17,rain,0,0,46.9,28.1,177.9,1022.3,96.1,15.7,27.7,2.3,2,,2020-10-16T07:30:28,2020-10-16T18:18:11,1,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2020-10-17,14.9,11.5,12.9,14.9,11.5,12.9,9.9,82.2,1.031,100,16.67,rain,0,0,27.7,14.7,158.5,1021.4,98.6,11.9,40.2,3.6,2,,2020-10-17T07:31:56,2020-10-17T18:16:20,0,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2020-10-18,17.1,11.6,14.3,17.1,11.6,14.3,10.7,79.2,0.109,100,8.33,rain,0,0,43.2,26.7,185.9,1017.1,99.1,14.7,24.4,2.1,1,,2020-10-18T07:33:24,2020-10-18T18:14:29,0.02,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"72793024233,KSEA,F7103,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2020-10-19,15,10.6,12.9,15,10.6,12.9,9.8,81.7,0.686,100,25,rain,0,0,25.9,16.3,156,1021,99.7,15.2,30.8,2.7,2,,2020-10-19T07:34:52,2020-10-19T18:12:40,0.05,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2020-10-20,14.9,9.1,11.9,14.9,9.1,11.9,7.8,76.7,0,0,0,,0,0,,8.7,126.6,1022.2,77,15.9,86,7.4,4,,2020-10-20T07:36:20,2020-10-20T18:10:51,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,F7103,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2020-10-21,11.7,5.9,9.1,11.7,4.7,8.4,5.8,80.8,5.14,100,20.83,rain,0,0,,15.1,134.6,1021.3,75,15.2,72,6.3,4,,2020-10-21T07:37:49,2020-10-21T18:09:04,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
